1.934988871449026870e+00 2.264371200397336636e+00 9.967642960332708801e-01 8.037996114267510761e-02
2.250243681465788903e+00 2.289793629230344241e+00 9.902808974339105674e-01 1.390817895250442138e-01
2.596723937079169708e+00 2.338455674626428227e+00 9.999461584784719026e-01 1.037690436241427497e-02
2.924762411822201091e+00 2.341859881793722398e+00 9.485887626641468229e-01 -3.165112309971052640e-01
3.154572541211524861e+00 2.265180197391460482e+00 5.291499825050731687e-01 -8.485283118522802814e-01
3.252984106603898695e+00 2.107370498421413441e+00 5.319926228625975568e-04 -9.999998584919146394e-01
3.253098403541609507e+00 1.892523681708334182e+00 -2.002005465003725837e-01 -9.797549393501173709e-01
3.202398968613908270e+00 1.644407367037920897e+00 -1.824155883313500481e-01 -9.832215178349826834e-01
3.153204012630047792e+00 1.379246150637843948e+00 -1.611854412557727767e-01 -9.869241376758306483e-01
3.109100269895854307e+00 1.109202851893816177e+00 -2.850328050435606553e-01 -9.585177619893119338e-01
3.034571292413463350e+00 8.585743367344622623e-01 -6.119040683692819060e-01 -7.909319889302248718e-01
2.890375706794058530e+00 6.721907069722782291e-01 -9.391078982045321100e-01 -3.436224025436443452e-01
2.662433134102504262e+00 5.887858345183227815e-01 -9.999997505634889983e-01 7.063093936096183313e-04
2.387552791814338438e+00 5.889799851346277926e-01 -9.917485388874944796e-01 1.281984228238384760e-01
2.106978708745753437e+00 6.252484075464077584e-01 -9.986856220410692542e-01 5.125454446624578414e-02
1.833489021840958078e+00 6.392844455238775314e-01 -9.988374034869335061e-01 -4.820623813865724389e-02
1.552431564316006041e+00 6.257199527637997694e-01 -9.996843227590932468e-01 2.512478516710470525e-02
1.276889958755393240e+00 6.326450625076461831e-01 -9.614560920041975711e-01 2.749585116849738164e-01
1.048703961520993433e+00 6.979020021731220380e-01 -7.145249702965511540e-01 6.996099390536933971e-01
9.058067985972374503e-01 8.378163223158356931e-01 -3.225797144255460047e-01 9.465423011366862482e-01
8.387921575547847564e-01 1.034456686559238392e+00 -1.036440448899987599e-01 9.946144539261632112e-01
8.150177192878493848e-01 1.262606793585319798e+00 -7.236303114994387109e-02 9.973783593615775933e-01
7.973687794462841483e-01 1.505861814608097538e+00 -9.558519471859412697e-02 9.954212528124003478e-01
7.734582516710764022e-01 1.754865309170974497e+00 2.786505556462825703e-02 9.996116939483952191e-01
7.800100788830538479e-01 1.989901018417346457e+00 3.787041307787143984e-01 9.255177909317240381e-01
8.580005374822646802e-01 2.180502469761617768e+00 8.494445633472338386e-01 5.276778693481728455e-01
1.039093313238133698e+00 2.292997921717487397e+00 9.939222690747212541e-01 1.100841634267048647e-01
1.310596019020583203e+00 2.323068832858226518e+00 9.963236666010500953e-01 -8.566884714200088957e-02
1.624586608503235219e+00 2.296070365677192360e+00 9.948258970964060088e-01 -1.015944608053549608e-01
